"phylum.scientific","phylum.common"
"Annelida","annelids"
"Arthropoda","Arthropod"
"Ascomycota","Ascomycota"
"Basidiomycota","Basidiomycota"
"Bryophyta","Mosses"
"Bryozoa","Bryozoan, Moss animal"
"Chlorophyta","Green algae"
"Chordata","Chordates"
"Cnidaria","cnidarians"
"Echinodermata","Echinoderms"
"Equisetophyta","Horsetail"
"Magnoliophyta","Flowering plants"
"Mollusca","Molluscs"
"Mycetozoa","slime moulds, slime molds"
"Ochrophyta",""
"Pinophyta","Conifers"
"Platyhelminthes","flatworms"
"Pteridophyta","Fern"
"Rhodophyta","Red algae"
"Zygomycota",""
